Couple 1  igav lwbrqts
42  5 
234 27
Couple 2  lxdrkbgi andacys
1095  12
101  1
42  5
53  5
46  6
73  4
83  3
80  9
45  6
53  5
42  5
72  1
45  4
12  7
40  6
106  3
83  6
42  5
23  4
26  3
44  2
72  3
75  6
23  4
14  9
70  4
77  1
90  2
46  6
54  1
42  5
Couple 3  dtpmapmkrydx qyckv
12  7
20  8
44  2
65  7
Couple 4  bdnw vabjyt
12  7
20  8
44  2
65  7
70  4
75  3
89  1
93  8
102  1
104  9
105  1
106  3
101  1
63  5
Couple 5  qsjdrlqybgl wmjwcsf
364  20
40  6
90  2
82  6
31  6
83  3
29  5
34  3
65  7
80  0
74  7
85  9
77  1
28  4
80  9
40  6
42  5
15  3
53  5
77  1
27  4
80  9
77  1
106  3
74  7
36  6
40  6
73  0
45  6
42  5
83  6
27  4
83  6
64  9
104  9
84  6
72  1
42  5
106  3
54  3
42  5
64  9
Couple 6  syryicxtqjdp fedowh
12  7
20  8
44  2
65  7
70  4
75  3
89  1
93  8
Couple 7  uyhfva fedowh
70  4 
290 18
44  2 
204 21
Couple 8  pqytja odplw
816  25
562  20
20  8
72  3
106  3
89  1
65  7
55  8
Couple 9  gvcfnybqr andacys
12  7
20  8
44  2
65  7
70  4
75  3
89  1
93  8
102  1
104  9
Couple 10  tbvbfynhgmtf edtkvtr
990  18
72  3
28  4
78  1
55  8
42  5
47  0
42  5
70  4
47  0
90  8
40  6
15  3
83  3
75  3
74  7
89  1
70  4
53  5
45  6
36  6
47  0
47  0
21  2
90  2
64  9
80  9
104  2
83  6
51  8
104  9
64  9
93  8
Couple 11  iqspisxq edtkvtr
12  7
20  8
44  2
65  7
70  4
75  3
89  1
93  8
102  1
104  9
105  1
106  3
101  1
Couple 12  pprstnmbwjv lwbrqts
31  6 
397 18
