dxwvqtgy,2,6,1812,1
eygx,2,3,1069,2
dyvin,2,2,2538,1
welqpuhjhnju,2,2,2147,1
utwtskcjbbz,2,3,1566,1
gzs,1,3,2568,1
xpgi,2,4,2903,0
uyhfva,0,6,2541,2
rgobznfq,1,4,1193,0
lxdrkbgi,0,5,2770,0
ujqwhvhae,1,6,1852,1
gvcfnybqr,0,9,2006,1
wav,1,1,1916,2
bdnw,0,8,1749,1
bmibh,1,5,2872,1
iqspisxq,0,6,2130,0
nkpzvjxul,2,0,1295,2
lcjv,1,2,1304,2
ztnekx,1,7,2666,0
syryicxtqjdp,0,2,1816,2
ghidu,0,1,1726,0
axtishryy,2,0,2307,1
pqytja,0,8,1745,2
igav,2,8,2013,2
dtpmapmkrydx,2,1,1501,0
mqceg,1,7,2758,2
izq,1,3,1456,1
qjfowtch,0,8,2399,0
muihxsxu,1,2,1843,0
twxtdp,2,6,2857,1
tbvbfynhgmtf,0,3,2945,2
pdqifp,1,8,2558,0
xcciwqqanokr,0,2,1538,2
pprstnmbwjv,0,7,1655,2
xwrfp,1,0,1742,0
meebsoo,1,7,2028,0
qsjdrlqybgl,2,9,2880,1
ysuptj,2,6,2458,0
ewte,1,8,2806,0
mwkeqolfyuj,1,7,2521,2
webgurnqmwg,1,3,2636,0
wbrofmp,0,2,1499,0
rawpen,0,6,1356,2
bvz,0,7,2777,1
xhzeevlnlovv,0,0,2623,0
iulq,2,5,2945,2
fyfce,0,0,2902,1
amfbvwcnfi,1,5,2198,0
