wlfh,1,8,2664,2
ccpkehl,2,5,2698,1
lrakheouofm,1,8,1482,1
vlikatajn,2,1,1283,0
ykcmvzipkoi,0,8,2926,2
gtgdjkhuten,2,5,2035,1
fjbvptaooz,1,9,1713,2
mgsm,2,7,1738,0
ntraujydda,2,8,2887,1
vxcfutyfolua,2,3,2479,1
tqroiceeoeh,2,2,1432,0
yguaexsriwnc,2,1,1661,2
jwmco,2,2,1225,1
vfmmvxcmcguh,0,0,2434,1
iivgmn,1,5,2357,1
khtxmtja,1,0,1001,1
vplxsnhwlmnc,2,4,1769,1
akwrelwl,1,8,1089,2
uvi,2,9,1725,0
kvtoizwsme,2,8,2458,1
ijbnowk,1,3,1843,1
vrlqsynrvu,1,9,1886,2
zcax,0,6,2327,2
atrsbgeor,1,6,1880,1
bpokbaa,0,3,2512,0
meyuwtqxn,2,3,1360,0
fimtqbg,1,9,1854,1
cesdmyij,0,1,2181,2
vgr,1,8,1076,0
afgfdsc,1,5,1098,0
buomryqxbr,0,2,1762,2
qapr,2,8,2292,0
oyn,1,1,2342,2
hesz,0,0,2509,0
qlw,2,0,2316,0
tup,1,9,1067,0
yzuiohnqq,1,7,1457,1
onlpke,0,1,2045,0
zfdwfag,2,0,1506,1
cxc,2,6,1274,2
xnr,0,4,1047,0
bkqmgd,1,0,1189,2
yxh,1,9,1592,1
zpishwvpcayf,2,7,1738,0
uzdbmpvydsk,0,4,1900,1
nnotvlyqnq,0,1,2602,2
knwrkr,0,2,2698,2
ojrte,1,5,1513,0
