Couple 1  gvmr pbkbatyd
630  28
101  21
103  4
10  7
80  4
56  6
103  0
14  6
41  7
47  6
54  0
82  6
60  3
Couple 2  zmi mfxxotlgd
908  17
727  30
71  3
26  6
10  1
27  4
80  0
52  6
56  1
12  3
101  0
Couple 3  qfujdyxopl cqdaqbda
479  15
167  16
785  20
56  6
90  8
12  3
56  6
28  8
101  3
54  0
27  4
59  4
79  1
60  3
63  7
64  1
63  7
47  6
27  4
79  1
82  6
Couple 4  tqq uwzzpj
13  9
82  6
36  2
43  4
66  8
78  2
52  6
10  6
30  2
58  9
10  1
59  4
52  6
10  8
79  4
69  1
47  0
45  9
12  3
79  1
Couple 5  xlh gcenr
656  13
496  20
