Couple 1  hxuanov kdlsgpow
913  13
76  8
91  8
92  3
60  7
20  6
39  3
90  1
60  0
95  0
23  4
109  1
60  7
81  1
80  5
30  3
86  8
33  8
87  1
91  7
31  4
54  4
42  7
54  8
39  3
60  7
35  8
86  8
89  4
66  6
48  2
90  5
Couple 2  flcpjhkcj btkbocl
76  8 
425 24
14  7 
428 26
Couple 3  ahypcu drjrfha
37  4
42  7
91  8
16  4
87  1
69  9
81  1
38  7
78  3
105  2
23  4
92  3
Couple 4  noh utylpb
37  4
42  7
91  8
16  4
87  1
69  9
81  1
38  7
78  3
105  2
23  4
92  3
Couple 5  xzivvqcgk rokccnhcc
1062  19
81  1
109  1
40  0
90  5
54  8
25  7
78  3
62  3
17  0
97  8
83  3
37  4
75  0
32  5
48  2
39  3
