Couple 1  nqxevx xidymq
426  23
618  14
107  4
80  0
103  7
19  5
48  3
64  1
106  9
103  6
48  3
22  5
67  6
91  1
47  5
100  5
48  3
53  7
22  5
24  6
64  1
42  7
84  5
96  1
19  5
78  2
38  3
20  0
18  3
100  5
24  7
22  5
24  7
89  6
27  8
78  7
Couple 2  lsfjpbxmcbf rmepzn
454  25
103  9
32  1
54  2
103  6
97  5
78  2
89  6
31  3
74  7
24  7
23  7
97  5
67  6
87  5
Couple 3  zjxlfr bmqlhxwp
19  7
20  0
23  7
24  6
24  8
35  6
40  8
42  7
49  6
66  6
89  6
103  6
48  3
53  7
75  6
69  6
101  3
Couple 4  tehcjyxvgsx eveigaj
19  7
20  0
23  7
24  6
24  8
35  6
40  8
42  7
49  6
66  6
89  6
103  6
48  3
53  7
75  6
69  6
101  3
56  9
Couple 5  nlircptkntl waraxbcww
19  7
20  0
23  7
24  6
24  8
35  6
40  8
42  7
49  6
66  6
Couple 6  fkyjsbuihauo rtnfaxv
80  0 
346 20
85  8 
542 13
Couple 7  pbnpqfc imajzts
24  6 
488 11
103  7 
489 14
Couple 8  quf kuwos
19  7
20  0
23  7
24  6
24  8
35  6
40  8
42  7
49  6
66  6
89  6
103  6
48  3
53  7
75  6
69  6
Couple 9  ephoqjln zpjptxpf
19  7
20  0
23  7
24  6
24  8
35  6
40  8
42  7
49  6
66  6
89  6
103  6
48  3
53  7
75  6
69  6
Couple 10  swwzjf mrihi
540  26
42  7
28  7
107  2
47  5
69  6
49  6
24  7
35  8
30  7
84  5
Couple 11  qjwpy jgknlzr
454  25
35  6
31  3
69  6
100  4
97  5
89  6
107  2
21  2
64  1
47  5
21  2
100  2
82  1
22  5
103  2
107  4
75  6
109  5
89  6
22  5
103  7
96  1
100  2
47  5
Couple 12  mjfdnyidtro jzymce
19  7
20  0
23  7
24  6
24  8
35  6
40  8
42  7
49  6
66  6
89  6
103  6
